ppm,S200538,S200624,S200627,S200725,S200547,S202042,S200796,S200793,S201032,S200610,S200607,S200820,S200071
PPM9.9995,-30.3819,-55.4773,9.608,2.5869,-42.69,39.7275,38.5443,9.9556,1.794,-14.4089,-3.351,-6.4719,32.802
PPM9.9985,-33.7355,-51.2835,13.1745,-5.3887,-29.6779,5.2069,14.6058,3.8614,6.4294,-29.1162,13.4681,-18.4465,30.1477
PPM9.9975,-27.2968,-30.2512,31.7148,26.352,-1.5081,-28.9761,0.3119,-15.1168,17.039,-23.2661,8.0274,-31.9547,27.3295
PPM9.9965,6.044,-41.0213,33.8749,35.6148,18.0768,-39.1136,-10.9388,-38.1966,-6.1576,16.7167,-0.9599,-30.8812,14.232
PPM9.9955,21.5327,-30.6229,21.3699,31.2936,13.6328,-44.6852,-12.4581,-38.361,-14.5672,27.3653,13.4438,-35.5402,-10.4843
PPM9.9945,3.0219,1.0929,55.2972,13.7902,14.0176,-43.0466,6.9826,-26.8171,-3.1367,19.9831,30.8796,-34.4264,11.1326
PPM9.9935,-9.8127,2.5256,68.4582,35.087,14.8838,-11.7894,28.5751,13.5131,-6.4847,7.5824,31.0034,-13.2664,32.6475
PPM9.9925,1.903,-22.4003,56.9662,35.1825,4.1443,-13.9924,18.5372,14.8081,-20.6316,-4.8708,-7.6603,15.0092,21.7494
PPM9.9915,-18.3329,-40.0259,43.9863,0.2975,-11.0946,-6.3512,13.8897,-2.4389,-27.7953,-23.2365,-45.2376,27.1433,13.2832
PPM9.9905,-34.5687,-21.0779,11.568,-21.0607,-20.0597,-5.1177,37.4845,-28.7116,-20.2455,-22.3774,-31.4923,21.4407,9.4772
PPM9.9895,-25.689,3.3096,-2.6644,-46.0961,-16.4914,-6.1738,32.9694,-40.735,5.7669,-4.4294,0.9806,-1.9091,9.9581
PPM9.9885,-6.7919,5.2097,-8.3224,-41.7088,-12.2232,-13.2943,16.9582,-39.4263,7.5495,-5.5618,23.9544,-3.2045,6.3426
PPM9.9875,12.5841,7.8024,-15.1018,-4.749,-25.7424,-6.9989,3.2679,-32.652,20.7905,-17.824,3.2024,21.7104,3.81
PPM9.9865,10.3273,22.0787,-18.047,-8.563,-30.8583,-12.5032,18.9061,-36.3631,30.0206,-16.3723,-29.5782,26.0836,-2.3366
PPM9.9855,12.8618,32.6878,-14.1509,-44.8392,-46.2845,14.1694,4.6874,-45.2658,18.7558,-14.2111,-11.6738,9.3476,-37.9804
PPM9.9845,26.5128,25.7771,0.0223,-49.8347,-63.424,47.3116,-1.2914,-31.9958,14.64,-26.2748,1.9992,-5.2628,-45.7769
PPM9.9835,31.6768,9.0586,-12.8946,-18.6721,-59.6285,42.9827,4.1461,-22.2752,33.8888,-37.7849,19.5107,2.197,-33.0347
